product_name,unified_price,resell_price,tender_price
FLAGENTYL 500MG 4CP S3,100,150,120
EPILIM CHRONO 333-145MG T,100,150,120
EPILIM 200MG TAB BL10X10,100,150,120
EPILIM 12G/300ML SYR BTX1,100,150,120
CORDARONE 200MG TAB BL3X10 S3 M36 XD,100,150,120
CORDARONE 150MG/3ML INJ A,100,150,120
CLEXANE 8KIU/0.8ML INJ PS2 S3 M24 XE,100,150,120
CLEXANE 6KIU/0.6ML INJ PS2 S3 M24 XE,100,150,120
CLEXANE 4KIU/0.4ML INJ PS2 SWI M24 XE,100,150,120
BRUMED 400MG TABSC BL10X10 M36 EX,100,150,120
BRUMED 2G/100ML SYR BTX1 M36 EX,100,150,120
BIOZOLE 500MG/+ INFLS VL1 M24 EX,100,150,120
BIOFERON 8G/200ML+ SYR BTX1 M30 EX,100,150,120
AXACEF 500MG TABCO BL2X7 M36 KE,100,150,120
AXACEF 500MG TABCO BL1X10 M36 GH,100,150,120
AXACEF 500MG TABCO BL1X10 M24 KE,100,150,120
AXACEF 250MG TABCO BL2X7 M36 EX,100,150,120
AXACEF 250MG TABCO BL1X10 M36 GH,100,150,120
ASAQ 50MG TAB BLI25X3 XD,100,150,120
ASAQ 50MG TAB BL1X3 XD,100,150,120
ASAQ 25MG TAB BLI25X3 XD,100,150,120
ASAQ 25MG TAB BL1X3 XD,100,150,120
ASAQ 100MG TAB BLI25X3 XD,100,150,120
ASAQ 100MG TAB BL25X6 XD,100,150,120
ASAQ 100MG TAB BL1X6 XD,100,150,120
ASAQ 100MG TAB BL1X3 XD,100,150,120
AMARYL M 250MG 30CP XE,100,150,120
AMARYL 4MG 30 TABS,100,150,120
AMARYL 3MG TAB BL2X15 S3 XE,100,150,120
AMARYL 2MG 30 TABS,100,150,120
AMARYL 1MG 30 TABS,100,150,120
APIDRA SOLOSTAR 300IU 5INJ XE,100,150,120
FLEMING 875-125MG TABCO BL2X7 M24 GH,100,150,120
OIL FILTER,100,150,120
